;Abs Path;Rel Path;Item Class
0;D:\Programming\AP_Lab3\dataset_2\bay horse_0000.jpg;dataset_2\bay horse_0000.jpg;bay horse
1;D:\Programming\AP_Lab3\dataset_2\bay horse_0001.jpg;dataset_2\bay horse_0001.jpg;bay horse
2;D:\Programming\AP_Lab3\dataset_2\bay horse_0002.jpg;dataset_2\bay horse_0002.jpg;bay horse
3;D:\Programming\AP_Lab3\dataset_2\bay horse_0003.jpg;dataset_2\bay horse_0003.jpg;bay horse
4;D:\Programming\AP_Lab3\dataset_2\bay horse_0004.jpg;dataset_2\bay horse_0004.jpg;bay horse
5;D:\Programming\AP_Lab3\dataset_2\bay horse_0005.jpg;dataset_2\bay horse_0005.jpg;bay horse
6;D:\Programming\AP_Lab3\dataset_2\bay horse_0006.jpg;dataset_2\bay horse_0006.jpg;bay horse
7;D:\Programming\AP_Lab3\dataset_2\bay horse_0007.jpg;dataset_2\bay horse_0007.jpg;bay horse
8;D:\Programming\AP_Lab3\dataset_2\bay horse_0008.jpg;dataset_2\bay horse_0008.jpg;bay horse
9;D:\Programming\AP_Lab3\dataset_2\bay horse_0009.jpg;dataset_2\bay horse_0009.jpg;bay horse
10;D:\Programming\AP_Lab3\dataset_2\bay horse_0010.jpg;dataset_2\bay horse_0010.jpg;bay horse
11;D:\Programming\AP_Lab3\dataset_2\bay horse_0011.jpg;dataset_2\bay horse_0011.jpg;bay horse
12;D:\Programming\AP_Lab3\dataset_2\bay horse_0012.jpg;dataset_2\bay horse_0012.jpg;bay horse
13;D:\Programming\AP_Lab3\dataset_2\bay horse_0013.jpg;dataset_2\bay horse_0013.jpg;bay horse
14;D:\Programming\AP_Lab3\dataset_2\bay horse_0014.jpg;dataset_2\bay horse_0014.jpg;bay horse
15;D:\Programming\AP_Lab3\dataset_2\bay horse_0015.jpg;dataset_2\bay horse_0015.jpg;bay horse
16;D:\Programming\AP_Lab3\dataset_2\bay horse_0016.jpg;dataset_2\bay horse_0016.jpg;bay horse
17;D:\Programming\AP_Lab3\dataset_2\bay horse_0017.jpg;dataset_2\bay horse_0017.jpg;bay horse
18;D:\Programming\AP_Lab3\dataset_2\bay horse_0018.jpg;dataset_2\bay horse_0018.jpg;bay horse
19;D:\Programming\AP_Lab3\dataset_2\bay horse_0019.jpg;dataset_2\bay horse_0019.jpg;bay horse
20;D:\Programming\AP_Lab3\dataset_2\bay horse_0020.jpg;dataset_2\bay horse_0020.jpg;bay horse
21;D:\Programming\AP_Lab3\dataset_2\bay horse_0021.jpg;dataset_2\bay horse_0021.jpg;bay horse
22;D:\Programming\AP_Lab3\dataset_2\bay horse_0022.jpg;dataset_2\bay horse_0022.jpg;bay horse
23;D:\Programming\AP_Lab3\dataset_2\bay horse_0023.jpg;dataset_2\bay horse_0023.jpg;bay horse
24;D:\Programming\AP_Lab3\dataset_2\bay horse_0024.jpg;dataset_2\bay horse_0024.jpg;bay horse
25;D:\Programming\AP_Lab3\dataset_2\bay horse_0025.jpg;dataset_2\bay horse_0025.jpg;bay horse
26;D:\Programming\AP_Lab3\dataset_2\bay horse_0026.jpg;dataset_2\bay horse_0026.jpg;bay horse
27;D:\Programming\AP_Lab3\dataset_2\bay horse_0027.jpg;dataset_2\bay horse_0027.jpg;bay horse
28;D:\Programming\AP_Lab3\dataset_2\bay horse_0028.jpg;dataset_2\bay horse_0028.jpg;bay horse
29;D:\Programming\AP_Lab3\dataset_2\bay horse_0029.jpg;dataset_2\bay horse_0029.jpg;bay horse
30;D:\Programming\AP_Lab3\dataset_2\bay horse_0030.jpg;dataset_2\bay horse_0030.jpg;bay horse
31;D:\Programming\AP_Lab3\dataset_2\bay horse_0031.jpg;dataset_2\bay horse_0031.jpg;bay horse
32;D:\Programming\AP_Lab3\dataset_2\bay horse_0032.jpg;dataset_2\bay horse_0032.jpg;bay horse
33;D:\Programming\AP_Lab3\dataset_2\bay horse_0033.jpg;dataset_2\bay horse_0033.jpg;bay horse
34;D:\Programming\AP_Lab3\dataset_2\bay horse_0034.jpg;dataset_2\bay horse_0034.jpg;bay horse
35;D:\Programming\AP_Lab3\dataset_2\bay horse_0035.jpg;dataset_2\bay horse_0035.jpg;bay horse
36;D:\Programming\AP_Lab3\dataset_2\bay horse_0036.jpg;dataset_2\bay horse_0036.jpg;bay horse
37;D:\Programming\AP_Lab3\dataset_2\bay horse_0037.jpg;dataset_2\bay horse_0037.jpg;bay horse
38;D:\Programming\AP_Lab3\dataset_2\bay horse_0038.jpg;dataset_2\bay horse_0038.jpg;bay horse
39;D:\Programming\AP_Lab3\dataset_2\bay horse_0039.jpg;dataset_2\bay horse_0039.jpg;bay horse
40;D:\Programming\AP_Lab3\dataset_2\bay horse_0040.jpg;dataset_2\bay horse_0040.jpg;bay horse
41;D:\Programming\AP_Lab3\dataset_2\bay horse_0041.jpg;dataset_2\bay horse_0041.jpg;bay horse
42;D:\Programming\AP_Lab3\dataset_2\bay horse_0042.jpg;dataset_2\bay horse_0042.jpg;bay horse
43;D:\Programming\AP_Lab3\dataset_2\bay horse_0043.jpg;dataset_2\bay horse_0043.jpg;bay horse
44;D:\Programming\AP_Lab3\dataset_2\bay horse_0044.jpg;dataset_2\bay horse_0044.jpg;bay horse
45;D:\Programming\AP_Lab3\dataset_2\bay horse_0045.jpg;dataset_2\bay horse_0045.jpg;bay horse
46;D:\Programming\AP_Lab3\dataset_2\bay horse_0046.jpg;dataset_2\bay horse_0046.jpg;bay horse
47;D:\Programming\AP_Lab3\dataset_2\bay horse_0047.jpg;dataset_2\bay horse_0047.jpg;bay horse
48;D:\Programming\AP_Lab3\dataset_2\bay horse_0048.jpg;dataset_2\bay horse_0048.jpg;bay horse
49;D:\Programming\AP_Lab3\dataset_2\bay horse_0049.jpg;dataset_2\bay horse_0049.jpg;bay horse
50;D:\Programming\AP_Lab3\dataset_2\bay horse_0050.jpg;dataset_2\bay horse_0050.jpg;bay horse
51;D:\Programming\AP_Lab3\dataset_2\bay horse_0051.jpg;dataset_2\bay horse_0051.jpg;bay horse
52;D:\Programming\AP_Lab3\dataset_2\bay horse_0052.jpg;dataset_2\bay horse_0052.jpg;bay horse
53;D:\Programming\AP_Lab3\dataset_2\bay horse_0053.jpg;dataset_2\bay horse_0053.jpg;bay horse
54;D:\Programming\AP_Lab3\dataset_2\bay horse_0054.jpg;dataset_2\bay horse_0054.jpg;bay horse
55;D:\Programming\AP_Lab3\dataset_2\bay horse_0055.jpg;dataset_2\bay horse_0055.jpg;bay horse
56;D:\Programming\AP_Lab3\dataset_2\bay horse_0056.jpg;dataset_2\bay horse_0056.jpg;bay horse
57;D:\Programming\AP_Lab3\dataset_2\bay horse_0057.jpg;dataset_2\bay horse_0057.jpg;bay horse
58;D:\Programming\AP_Lab3\dataset_2\bay horse_0058.jpg;dataset_2\bay horse_0058.jpg;bay horse
